candidate_ordinal,feature_family,ranker,frame_gate,requested_action_fraction,score_threshold,realized_action_fraction,dr_airtime_us_per_eligible_frame,dr_treat_none_deadline_miss,dr_policy_deadline_miss,dr_deadline_miss_benefit,deadline_miss_relative_improvement,dr_treat_none_completed_late18_numerator,dr_policy_completed_late18_numerator,dr_treat_none_completion_probability,dr_policy_completion_probability,dr_treat_none_completed_late18_ratio,dr_policy_completed_late18_ratio,completed_late18_relative_improvement,dr_treat_none_bad12,dr_policy_bad12,dr_bad12_benefit,balanced_min_relative_improvement,mean_relative_improvement,admissible,rejection_reason,selected
0,primary_base,deadline_value_per_cost,all_frames,0.050000000000000003,5.3931078582536429e-05,0.05005798221878624,119.32438683124124,0.020215760277452761,0.0083726129910836403,0.011843147286369121,0.58583734293575573,0.035515588448998006,0.026094887726969562,0.97978423972254713,0.99162738700891628,0.036248376947821924,0.026315214836573415,0.27403053454081255,0.1046070973176101,0.081498547493663906,0.023108549823946192,0.27403053454081255,0.42993393873828412,0,completed_late18_improvement,0
1,primary_base,deadline_value_per_cost,all_frames,0.074999999999999997,4.0520266338717192e-05,0.07508697332817936,182.8002456849056,0.020215760277452761,0.0069750805495318504,0.013240679727920911,0.65496818057783535,0.035515588448998006,0.023441032832681605,0.97978423972254713,0.993024919450468,0.036248376947821924,0.02360568438267761,0.34877954903589087,0.1046070973176101,0.075978666444053822,0.028628430873556286,0.34877954903589087,0.50187386480686313,0,completed_late18_improvement,0
2,primary_base,deadline_value_per_cost,all_frames,0.10000000000000001,2.8225913411006331e-05,0.10001932740626208,239.23717591613126,0.020215760277452761,0.0058766381145984384,0.014339122162854323,0.70930412539800303,0.035515588448998006,0.023189252339257532,0.97978423972254713,0.9941233618854014,0.036248376947821924,0.023326332755401736,0.35648614587684713,0.1046070973176101,0.071639092794510681,0.03296800452309942,0.35648614587684713,0.53289513563742508,0,completed_late18_improvement,0
3,primary_base,deadline_value_per_cost,all_frames,0.125,2.2476571757579222e-05,0.1250483185156552,318.24591444912977,0.020215760277452761,0.0048260077487193177,0.015389752528733444,0.76127498137668814,0.035515588448998006,0.021486198695167075,0.97978423972254713,0.99517399225128056,0.036248376947821924,0.021590394104412877,0.40437625288736712,0.1046070973176101,0.066811082284121109,0.037796015033488985,0.40437625288736712,0.58282561713202763,0,completed_late18_improvement,0
4,primary_base,deadline_value_per_cost,all_frames,0.14999999999999999,1.8964739865623415e-05,0.15007730962504831,408.68179448587307,0.020215760277452761,0.0043910093599322832,0.015824750917520478,0.78279276665000297,0.035515588448998006,0.020236247154340966,0.97978423972254713,0.99560899064006758,0.036248376947821924,0.020325496600157533,0.43927153953912845,0.1046070973176101,0.063750066343155623,0.040857030974454478,0.43927153953912845,0.61103215309456571,0,assignment_airtime+completed_late18_improvement,0
5,primary_base,deadline_value_per_cost,all_frames,0.16500000000000001,1.7517750166007318e-05,0.16505604947816002,445.38537659366568,0.020215760277452761,0.0042065560326915719,0.01600920424476119,0.79191700064907933,0.035515588448998006,0.01879884768364842,0.97978423972254713,0.99579344396730829,0.036248376947821924,0.018878260142738579,0.47919709150252238,0.1046070973176101,0.061235225803661086,0.043371871513949015,0.47919709150252238,0.63555704607580088,0,assignment_airtime+completed_late18_improvement,0
6,primary_base,deadline_value_per_cost,all_frames,0.17999999999999999,1.6382351532229222e-05,0.18003478933127173,496.15197849091828,0.020215760277452761,0.0038909353824012199,0.016324824895051541,0.8075296041801161,0.035515588448998006,0.016481053518579574,0.97978423972254713,0.99610906461759863,0.036248376947821924,0.016545430720386597,0.54355388810365002,0.1046070973176101,0.057806481903934281,0.04680061541367582,0.54355388810365002,0.67554174614188311,0,assignment_airtime,0
7,primary_base,deadline_value_per_cost,all_frames,0.20000000000000001,1.4980778360040858e-05,0.20003865481252417,552.96283126343576,0.020215760277452761,0.0036739071282113483,0.016541853149241413,0.81826520112088164,0.035515588448998006,0.015585217098404405,0.97978423972254713,0.99632609287178853,0.036248376947821924,0.01564268687722703,0.5684582816012963,0.1046070973176101,0.055985583830255481,0.04862151348735462,0.5684582816012963,0.69336174136108897,0,action_fraction+assignment_airtime,0
8,primary_base,deadline_value_per_cost,p_frames_only,0.050000000000000003,5.3589144954457879e-05,0.05005798221878624,117.55945190004381,0.020215760277452761,0.0085729528018716923,0.011642807475581069,0.57592726248176962,0.035515588448998006,0.026196166011327196,0.97978423972254713,0.99142704719812824,0.036248376947821924,0.026422686455206335,0.27106566748517524,0.1046070973176101,0.081604447747064102,0.023002649570546003,0.27106566748517524,0.42349646498347243,0,completed_late18_improvement,0
9,primary_base,deadline_value_per_cost,p_frames_only,0.074999999999999997,4.0262570109916851e-05,0.07508697332817936,180.0739980974607,0.020215760277452761,0.0070727168959641481,0.013143043381488613,0.65013846628105498,0.035515588448998006,0.023809222308041098,0.97978423972254713,0.99292728310403577,0.036248376947821924,0.023978817697112714,0.33848575533107994,0.1046070973176101,0.07647902441372767,0.028128072903882431,0.33848575533107994,0.49431211080606746,0,completed_late18_improvement,0
